Farm	CN_1cm	NH4_Inv	IntO2	Grain
0.38	8.36	18.65	0.01189658	3.05
0.38	8.36	18.65	0.01189658	3.05
0.38	8.36	18.65	0.01189658	3.05
0.38	8.36	18.65	0.01189658	3.05
0.79	8.65	5.33	0.011944	3.43
0.79	8.65	5.33	0.011944	3.43
0.79	8.65	5.33	0.011944	3.43
0.79	8.65	5.33	0.011944	3.43
0.47	8.37	4.48	0.015636	3.05
0.47	8.37	4.48	0.015636	3.05
0.47	8.37	4.48	0.015636	3.05
0.47	8.37	4.48	0.015636	3.05
0.94	8.14	1.3	0.003465	93.63
0.94	8.14	1.3	0.003465	93.63
0.94	8.14	1.3	0.003465	93.63
0.94	8.14	1.3	0.003465	93.63
1.2	8.34	1.86	0.00554	13.12
1.2	8.34	1.86	0.00554	13.12
1.2	8.34	1.86	0.00554	13.12
1.2	8.34	1.86	0.00554	13.12
2.48	8.33	1.79	0.004943	3.59
2.48	8.33	1.79	0.004943	3.59
2.48	8.33	1.79	0.004943	3.59
2.48	8.33	1.79	0.004943	3.59

